arm,true_grade,support,mae
A,F0,1140,0.19650788655864043
A,F1,1006,0.4161068730159972
A,F2,1108,0.5144743248820305
A,F3,853,0.40356974937851514
B,F0,1140,0.21545791086136248
B,F1,1006,0.38759691839959937
B,F2,1108,0.49617537735063677
B,F3,853,0.4517999176123777
C,F0,1140,0.2152929865689785
C,F1,1006,0.3942186057152852
C,F2,1108,0.510325164140777
C,F3,853,0.4233156488411312
D,F0,1140,0.223658914981704
D,F1,1006,0.4168487933740227
D,F2,1108,0.5174230568460609
D,F3,853,0.4263517143508334
E,F0,1140,0.19627674065138165
E,F1,1006,0.41103475494958297
E,F2,1108,0.5165250332024123
E,F3,853,0.40128029636593243
